	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
eif4h	55100.70518231392	-91475.70996284486	60242.68377828598	-197169.39492225644	115939.68864440918	264.78372681140905	5651.773525536061
rabgap1l	20470.042802095417	-21675.292825698856	-46957.18572044373	-32070.430809259415	-60353.14659643173	39741.8179063797	49063.56043338776
lta4h	63130.40761733055	-315323.101512909	268373.4353675843	94100.55741310121	-59890.306220054634	-380.59072732925415	-17744.30914115906
oxa1l	-177612.59409332278	55883.26814889908	52672.583610534675	36758.28404188157	-3096.3154610991483	-109.31297302246097	-5344.220286369325
ikzf3	175161.4888629913	-4086.3506364822388	38.35978534072638	-164721.42811775208	-142735.08938884738	-114.06118339300158	128323.31604003906
zc3hav1	-173556.86960220337	-27884.76471734047	72369.94816589355	43261.440928459175	284438.597858429	-406.9403696060181	-68321.70517635347
celf2	-542773.8848876954	200959.78971862793	177828.2506313324	410840.21474647516	-674473.7362251283	4893.912243843079	4348.269274681807
arhgap25	188844.84553337097	-38685.851802825935	-5166.717366218568	-120419.43274259569	197418.57354545593	-0.3866775333881378	-3743.270863562823
srsf6	161519.436668396	-118340.13549137115	15746.480226516724	-64231.278286933906	-239505.609413147	5185.570217370988	100502.47674179077
selplg	7086.90028989315	-124430.53138160707	141562.67706871036	-156951.2386379242	262434.79648590094	-725.5808954238893	-57072.86965560914
atp6ap2	-57261.43772125245	640221.8183898927	-170261.2292480469	10558.825502097608	-164219.11425590518	-318.41407775878906	89452.25535392763
csde1	-190557.55614566806	85950.55748534203	-337723.8768310547	348441.11959362036	743075.221206665	620.249605536461	-26944.6987695694
lck	-233.991813544184	-291.155690073967	-205.1941921710968	-563392.1762866975	1216017.8788623812	-21.379050731658936	-167576.73256301883
ldhb	-703255.8750000001	74304.99084854127	-14898.731741905214	7656261.248588563	-1036995.7669563295	-282.90840613842016	-55530.381341457374
golga4	124618.32174110414	6142.086551666261	14401.890884399416	66037.13939857483	-285304.93273925787	-77.45743036270143	-10101.493143081667
jchain	1139728.9631652834	-1916.9243874549868	-481.82160758972174	-913.4777297973634	-498.4656646847725	0.4210625216364861	0.6814762204885483
stat4	-8870.86218738556	-208.8465757369995	-120.42603206634523	140535.40443420413	-66734.58926963808	-0.8776614665985109	113738.22101783754
dusp6	14353.929431915283	531175.7662296296	-318021.7508411408	170.72392934560776	-4625.21493434906	-97.12138485908511	-4574.272499084473
bank1	3451955.603027344	-6939.947944641114	-1527.9976959228516	-6947.492466926575	-3002.0688786506653	11.25518648326397	-308.6471834182739
tgoln2	560115.1072807312	-404378.11830902105	23113.49273300171	-553764.5956726075	176707.61162567142	-158.41587829589844	-14888.223867416382
arhgap30	-328597.1989116669	-263300.66056823736	236425.65078735352	-84861.14109039308	192638.18886995316	-482.4409775733948	212787.67337417605
cd79b	3153614.8018970485	-6199.8237228393555	-82317.99311828615	-6876.543937683106	-20622.378314971927	-1.3460557460784912	-1170.619785785675
cd9	84.29932077974081	1068.235071182251	-922.7214279174808	-596.5740056037902	-216.5664052963257	73359.98477935791	-673.4163169860841
cd22	322051.11282539373	-759.2269129753114	-609.7608680725098	282.49656540155416	-224.0395474433899	0.20472610741853714	-271.6757558584214
cd6	-16266.908569335938	80.07280863821508	-175.33677673339847	124056.24956893922	237771.59580039978	0.0	-9940.51471710205
cd82	266719.91949749	-9223.03016281128	-2077.4164829254155	-18438.563159465793	1422.9246010184288	1376.7341203689575	-51.00232297182083
cd40	168445.73953056335	-2751.6250226497655	-1148.1390953063967	-1115.2429797649384	-1.1388719491660597	1.329134501516819	-70.28787781298162
cd99l2	3377.4940648078928	-218.28272193670276	-18.619128361344337	830.2603812217712	-1693.3584346771243	-0.08606369048357011	-1373.5906572341921
cd40lg	7.535175852477551	-56.307929635047905	-7.97221964597702	46529.218006849296	-4082.9957875013356	0.5351305156946182	-143.94612026214602
cd79a	6425370.7185668945	-25081.530097961426	-5294.546470642092	-14448.164047241213	-3413.8126029968266	0.03968732804059982	-2134.3439040184026
cd33	-71.86379313468933	-7051.845791935921	-221.13545787334448	0.16144087980501357	3.3259661644697185	137.16244983673096	-2.6440732479095463
cd5	-2778.246448516846	-1699.6250152587893	1252.888421058655	171888.69697475436	22975.900574684147	-0.2814558148384094	-1572.1840343475344
cd69	482485.61057853705	17735.63766860962	-6949.526168823243	-238736.16944217685	-684157.5076141357	-484.4321066141129	156363.77918720242
cd83	673134.6183013917	13746.445643901827	-29961.63275718689	-6662.262737274171	-15293.00885009766	-22.73692059516907	-3770.5025367736826
cd86	-20246.155513286594	-31801.543142795566	67480.70893478395	-24.829463124275208	2.125182747840882	-442.8555927276612	-0.6704375445842743
cd58	388.01374065876007	-2119.024266719818	6365.174245834351	443.3089702427388	-19130.328154563904	-168.84221220016482	12188.57855081558
cd2	-10440.998566627502	2703.7157589197163	266.15176892280584	-312126.64689254767	1406020.357383728	-35.37860262393952	-215777.72766017917
cd48	116520.26793003084	-329330.5115795136	219546.11684131622	345168.6168799401	161279.06624078754	-718.457955121994	-145520.70720195773
cd274	-2.1727974414825444	-0.02813288569450379	-0.08599098026752472	-102.24468702077867	6793.133198738097	0.0	-966.8669171333313
cd80	5031.58779644966	-1.3853716850280762	0.0	-3.510518878698349	0.0	0.0	44.04991149902344
cd36	-432.13879519701004	592936.8262233735	-24074.16530799866	-31.363697141408924	-76.48213195800781	581.4289674162866	-35.77340126037598
cd27	44473.708404541016	-1169.0169296264646	-1024.7788572311404	210885.32780456546	-16624.754222154617	-0.7660070573911071	-450.99481099843985
cd226	-1013.7772697210313	308.0836163461209	-497.3847866058351	-7365.683222770692	-73851.2828063965	5757.667950153352	78505.80340385438
cd96	-22829.671875000004	1075.147621393204	-169.59313225746158	557079.4665527344	-258330.46616649628	0.0	-18872.13390350342
cd1d	1076.5871301591396	17531.125865936283	-2265.430572509766	-13.175319612026215	-0.08360815048217775	0.7846345044672489	-0.15903025399893522
cd200r1	295.82206860184675	42.7994716949761	8.395601153373718	-1613.1276872456076	28.255535230040554	0.0	0.0
cd300c	-19.0045108795166	-10054.904657602312	14047.409424781803	-0.19860725104808813	-0.008582573384046556	0.0	4.659219738096
cd300a	-1655.6742000579836	-4276.185829401016	57414.73145866394	-27156.991074562073	44701.92030429841	-48.72604846954346	163958.14160728455
cd19	740083.2342529298	-4698.147651672364	-433.2756900787354	-200.6023645401001	-693.9386501312257	0.0	-12.824375733733179
cd163	-12.59293392300606	77832.00690937042	-45.4062762260437	-1.8884224891662602	1.0095012187957764	-0.2679697442799807	-0.10635732673108578
cd300lf	-1.7073926925659182	-10714.340656399727	41346.978950500496	-12.126354470849037	-56.13601255416871	-7.00309181213379	-0.4070117771625518
cd81-as1	-2.6146496683359146	0.0	0.0	4.280835762619973	0.0	0.0	0.0
cd24	82298.74590396883	-461.87545704841625	-46.30262517929078	-83.76971977949142	-121.29771387577057	0.0	-1.3737889528274536
