	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
rpl5	-5282177.756633759	94624.90694963933	-359945.1585769653	2305540.7512493134	-1218400.9043235779	-6499.821835756303	1823045.7456207275
pfn1	788747.3500728608	-6127655.269958497	1337095.133577347	907351.008916855	1771279.942909241	-43018.50833892823	3149589.0745086675
hla-c	-2546279.040927887	-2740408.859085083	-1566477.5209884646	-4076718.2446289062	13991309.42770386	108938.29493236542	4050383.304222107
hla-drb1	16932299.21859741	4794905.982881546	-1461526.7689056399	-191551.5997924805	-98352.59012889864	-13022.522697925568	-29677.379347801212
ctd-2139b15.2	-50713.407526016235	-22326.282822132114	353492.0943832398	33858.73366928101	-21048.437049865723	-93228.86053085329	-2228.312823772431
cxcr4	-782214.5764112474	83381.80194854738	-59201.51074218751	2448973.289279938	-1441341.2466106417	-325.2285919189453	58342.78706526758
arhgdib	605396.1813182831	-3311102.0860214233	-349213.96709728247	762082.424853325	1712782.1889266968	349234.25451278687	406491.3805060387
cotl1	802007.0234355927	4927788.592063905	-542676.1750822067	-567715.634997368	340812.27975845337	-73314.57160949708	-60237.50650405885
ywhaz	1435463.26512146	-1047691.216615677	-103527.5339460373	70281.1024580598	2162115.606985092	93891.47546100616	-952370.9537334443
ptp4a2	1016801.0773468018	-917229.9338531495	751284.2169313431	-645894.807144165	-225088.47117519382	2279.045544028282	-294786.48035621643
rpl19	21208009.043289185	-7151883.520385742	-1553811.5429744723	11940185.903045656	3771259.1999654775	-4641.892330169679	-57200.593286097035
rpl6	-372524.2440093756	2814901.6662597656	-1753845.5112152104	-7608444.459777832	9742944.346725466	-14042.270874023438	546660.1970787048
rbm3	-1619034.4296875002	-1169433.5442352295	2042998.5836791997	1220310.2913951874	131839.6968095303	-3924.438751220704	-312482.53903388977
nap1l1	1816646.8441658018	-1629934.7278404238	2940613.8748550415	680795.583595276	-1012275.1174201965	120809.75317382814	-243789.9950695038
hla-dpb1	3635181.873905182	3257238.258728028	-822528.0116729737	-158566.14586830142	198592.66984367374	-686.5672123432162	-48796.94250011445
s100a9	5789.497661590576	29842768.954376224	-970882.5542907715	-22964.313943862915	20537.69981765747	-435.17797887325287	-2925.49752664566
itgb2	-15757.723373770716	-133654.10117053989	359578.8614578247	-2119083.6980171204	2084729.2041664124	-17193.626647949222	2263548.7157478333
pecam1	22221.70541906357	-416403.9453544617	1207771.7102622986	-12205.491050720217	-52703.317750930786	-12177.383298873903	2221.730484724045
tpm3	1065904.840976715	-892909.8864822388	515910.8193969728	-1557025.5967254639	1366592.3638658524	-91755.59550046922	187836.19196033475
rpl8	5330323.312168122	-3626657.4607849126	2292860.770118714	7029217.289527893	-1876125.4432373047	-5240.367386341096	-715958.5650691987
coro1a	1687300.7484436035	709668.9923505783	-47815.18218910694	-1982396.8976211548	379905.1731081009	-7183.860374450685	464798.50814437866
nkg7	-99519.97047424316	-66248.58781814577	29822.7412519455	-536938.7773132325	10209641.039333344	3971.949338912964	7316733.256435396
wars	69431.50514602663	-481919.2153930664	1231772.3304786684	-38993.53085899354	40513.065444946296	-2370.1045532226567	-5937.239414453507
fcn1	-3865.9094734191904	16091651.215698244	-1918042.9313659673	-2476.904133796692	1443.6968564987185	-16481.23656654358	-366.02604675292974
slc25a6	247145.25748014453	-773910.4104042053	1001234.0805397036	1196894.5119380953	-1022643.8331985474	-2560.2448539733896	81090.85278511049
arf1	171934.7181978226	-557626.3650856019	33136.15889310837	-22456.173066973686	-366842.3405284882	54815.42438411713	332388.2651824951
arpc2	1097143.674297333	-1164231.51436615	566615.2789878845	-785845.7463598251	1345224.9513740542	-25928.899356842045	235436.34329986572
lcp1	-490613.939526558	32186.368206650022	255418.75542640686	-1370632.8674850466	2531028.4951133733	-4545.138901233673	801837.8708496095
igha1	2722742.401634217	-1207.894702911377	-1090.688472747803	-241.0651118755341	-43.115490943193436	3.985479414463043	-0.866834506392479
vcl	-31107.401484966278	-94444.46154022218	-16639.333485603336	-7016.880326747895	158068.86769294742	294937.8808784485	-69737.46286010744
rpl15	16041778.614345552	-1539638.842130661	-1368066.287841797	13413306.555471418	-5450503.112831117	-15578.603060245518	-1377428.1382026675
cd14	539.4869387149811	2710148.1617660527	-121873.09813690187	-129.1930949687958	-16.422099590301517	38.30103868246079	-8.10607671737671
ncoa4	6490.283988237381	-123769.14709091187	-118613.08824157715	-66419.0419845581	15458.910358428955	483688.14081954956	-23183.268499374393
klf6	1447983.931497574	495234.30503797537	-13590.918021351103	-2382267.1376037598	868232.5434265137	-4207.430354118347	-81539.03039216997
rpl7	7862091.178936005	1722873.9760951998	-3031343.867717743	5549953.921497346	3479418.677244187	-40853.1424484253	1152088.0130405426
eno1	-531852.9043350221	1896136.8977050781	-756897.1318130493	-70419.84432911874	994269.0102024078	-40612.21166133881	-16098.771514296533
srgn	-358453.1201477051	6185335.619792939	-267430.2154159546	-606610.0497722626	980165.0563373566	60212.89263248444	751411.1853027344
itgb1	-54752.005074262626	6253.969515919685	-128328.99560928348	-8649.068919628857	794028.1187438966	35097.769719362266	-154757.4322357178
sell	6688284.6848716745	-573838.748205185	-180303.58816528323	-358355.4267721177	-290745.57180356985	-3823.709765434266	306542.7995681763
tkt	-72751.85410737993	1518470.6717834475	35220.709218502045	32649.237585067753	-98061.95699310303	-3824.2831563949594	16421.31748390198
serpina1	-737.4378561973573	-663791.1447753907	1995613.2100143437	-250.28947305679324	-257.195185661316	-1492.8151473999028	-16.135227203369144
h3f3a	-2657539.1225013738	-985594.2668809892	666281.2346706392	-1796658.056192398	-1446664.0326004028	847071.0247192383	798900.812048912
vim	-1318030.1501464846	7555717.271015167	-145700.06851124766	5032884.6939582825	-1288879.288740158	-12386.90358543396	-517534.89584922796
eef1b2	423353.79369831085	-1764555.859867096	660951.9725933075	1153469.471930981	26823.393148303036	3311.093029975891	-96743.53125667573
gnas	281027.4973154068	-1125464.1577072144	351763.1957817078	794668.9505796434	-605065.505862236	163988.70448112488	-250126.30257415771
bin2	27690.992151260376	-217500.04847717288	48512.0432651043	-506305.49054431915	-6776.430114507676	40484.257328510284	605485.5962963105
ezr	2525606.2462425237	-80300.87126350404	-30465.91815948487	-130661.12276029587	5567.967524796725	-81.51553344726564	-130555.84443283081
cd53	2322589.017379761	-192083.73299026492	-205959.15746688846	-1155017.8433189394	1008208.632259369	-3119.304889678955	151416.78136920926
rab37	-2380.5853044986725	-15220.8455657959	-8219.751214981081	-31876.045955657963	32103.83253335953	133027.83608436584	35516.75294637681
dazap2	159085.65180730823	808861.8269195558	-88689.29691910745	-485157.6310806275	579450.651626587	-17920.577545166016	-195899.0827131271
aldoa	-165829.0128364563	46574.52997398377	289423.5376300812	288730.2558021546	92781.34595680238	840.8426969945432	-290969.56685256964
aif1	-9896.63824081421	1662154.8282737732	3315149.904647828	-79601.52803421019	-15585.924501419066	-4928.379243850708	-1341.0802717208865
fcer1g	-3151.5885124206548	-599359.1905565263	2824245.8038024907	-26842.378377914432	-151690.51214218143	-38197.815147399895	1475594.9434356692
pgk1	146981.7428827286	-363991.567943573	325792.284078598	-405043.1925535202	401476.08982944494	-22899.395683288574	73615.84585285188
cd37	10604825.375568392	-1272467.1298885348	-199129.7220039368	-327796.0033035279	-842322.9508209229	-3851.200086593629	326216.44964599615
mtrnr2l1	620612.5756263734	-331878.59792327887	-49825.12572479248	141835.04038095474	336328.4075021744	22135.400497436527	-167740.35193920135
hspa8	2376382.318725586	-489457.51965522766	-211706.02291107184	-1078470.548966408	2888111.1111297607	-2754.640037536621	-768288.3539114
ctsb	-51422.711322784424	691989.2539978029	-43974.38183212281	39890.30566406251	-32514.155444145203	-585.8602819442749	1733.3776855468752
pabpc1	-5372568.9245147705	7019467.930074693	1664587.5614814758	3143323.870948792	-309706.2143597602	-66047.47955703737	-605922.2621469497
litaf	-894323.91929245	301200.91748619085	-71683.9835882187	207217.1507263184	1728341.4215621948	-9152.877321243286	796183.7706642152
ucp2	110165.40548694135	-428035.8389415741	164246.80371284485	465234.4858074188	-563976.236480713	-3563.5895125865936	312072.5265893937
s100a8	4706.653995513917	6577365.880405427	-207258.01062011725	-11839.00548362732	22752.06552886963	-505.7124423980714	-490.36354422569275
myh9	-63415.793929100044	-902780.1728591919	-329978.1419677734	1116303.261367798	350163.290476799	191525.60494613647	-87829.63333511353
anxa2	-152461.5051455498	808048.8064870834	674182.15540123	-336226.96669006353	552710.5650501252	-14028.910688400272	-15830.409848690033
c10orf54	-21709.696306228638	-628174.4260406495	1333249.8736267092	-134454.82651710513	211072.65646934512	-3858.7995376586923	-30520.279400825504
fcgr3a	-1727.8532960414886	-115681.32879638672	3561160.585197449	-3647.0846414566045	-223249.7542381287	-1067.1358985900881	632893.1678867341
grn	-298953.82741546637	2635440.119415283	197535.2725124359	5381.559093594551	-23035.13476276398	125.31122922897342	-87.15815759450197
vcan	1157.680057525635	2094546.6355705261	-41294.665683746345	-404.0561395883561	368.84480857849127	-246.16501307487488	-53.002187967300415
saraf	-353077.9950599671	-159301.82858610156	37192.9223690033	4838758.665004731	-587533.6538729669	7906.259051084518	-424194.7444105149
